Wetland,DateCollected,Type,HLength,CoV,Sample,Biomass,Density,Richness
W11,2/21/2023,Swamp,Long,0.3916141,221W11E1,10.84603918,17.5,3
W11,2/21/2023,Swamp,Long,0.3916141,221W11E2,3.475372115,5,2
W11,2/21/2023,Swamp,Long,0.3916141,221W11E3,3.440735829,7.5,2
W15,2/21/2023,Marsh,Short,0.5944965,221W15E1,0.7473766021,7.5,3
W15,2/21/2023,Marsh,Short,0.5944965,221W15E2,0.9922617853,5,1
W15,2/21/2023,Marsh,Short,0.5944965,221W15E3,0.5,5,1
W21,2/21/2023,Marsh,Intermediate,0.3968312,221W21E1,3.870666383,5,1
W21,2/21/2023,Marsh,Intermediate,0.3968312,221W21E3,1.053672929,2.5,1
W32,2/21/2023,Swamp,Short,0.4723248,221W32E1,17.18896744,20,2
W32,2/21/2023,Swamp,Short,0.4723248,221W32E3,48.50091019,45,4
W37,2/21/2023,Marsh,Short,0.5491605,221W37E1,13.44566374,47.5,6
W37,2/21/2023,Marsh,Short,0.5491605,221W37E3,42.61461084,7.5,2
W42,2/21/2023,Marsh,Long,0.2360643,221W42E1,9.596442736,22.5,1
W42,2/21/2023,Marsh,Long,0.2360643,221W42E2,12.95168524,47.5,1
W42,2/21/2023,Marsh,Long,0.2360643,221W42E3,9.596442736,22.5,1
W46,2/21/2023,Marsh,Long,0.3835618,221W46E1,15.0414955,17.5,2
W46,2/21/2023,Marsh,Long,0.3835618,221W46E2,2.18726499,12.5,1
W46,2/21/2024,Marsh,Long,0.3835618,221W46E2,3.591869429,10,1
W52,2/21/2023,Swamp,Intermediate,0.4596531,221W52E1,1.091023562,5,1
W52,2/21/2023,Swamp,Intermediate,0.4596531,221W52E3,4.049772999,20,1
W53,2/21/2023,Marsh,Intermediate,0.3195769,221W53E2,5.512446634,12.5,2
W53,2/21/2023,Marsh,Intermediate,0.3195769,221W53E3,4.575205905,12.5,2
W58,2/21/2023,Swamp,Long,0.3163063,221W58E1,3.426903377,20,4
W58,2/21/2023,Swamp,Long,0.3163063,221W58E2,3.854769795,22.5,2
W58,2/21/2023,Swamp,Long,0.3163063,221W58E3,1.964763387,12.5,2
W68,2/21/2023,Swamp,Intermediate,0.3681222,221W68E1,0.9450032042,5,1
W68,2/21/2023,Swamp,Intermediate,0.3681222,221W68E2,22.62445801,72.5,4
W68,2/21/2023,Swamp,Intermediate,0.3681222,221W68E3,5.459054952,7.5,1
W11,3/6/2023,Swamp,Long,0.3916141,306W11E1,12.43754181,37.5,5
W11,3/6/2023,Swamp,Long,0.3916141,306W11E2,19.62123665,87.5,4
W11,3/6/2023,Swamp,Long,0.3916141,306W11E3,0.25,2.5,1
W15,3/6/2023,Marsh,Short,0.5944965,306W15E1,183.3159425,152.5,12
W15,3/6/2023,Marsh,Short,0.5944965,306W15E2,208.7236492,142.5,12
