CoV,HLength,Type,Wetland,Sample,Date_collected,Taxa,Insect,tot_biomass,Count,FFG,Female dispersal distance,Adult flyer strength,Voltanism
0.3163063,Long,Swamp,W58,622W58B3,6/22/2023,Culex,Insect,0.07304103793,1,CF,Low,Weak,Bi_multivoltine
0.5944965,Short,Marsh,W15,209W15B1,2/9/2023,Aedes,Insect,52.27285486,215,CG,High,Strong,Bi_multivoltine
0.5944965,Short,Marsh,W15,209W15B2,2/9/2023,Aedes,Insect,2.058809645,8,CG,High,Strong,Bi_multivoltine
0.5944965,Short,Marsh,W15,209W15B3,2/9/2023,Aedes,Insect,32.55819863,157,CG,High,Strong,Bi_multivoltine
0.3968312,Intermediate,Marsh,W21,209W21B1,2/9/2023,Aedes,Insect,7.748354714,26,CG,High,Strong,Bi_multivoltine
0.3968312,Intermediate,Marsh,W21,209W21B2,2/9/2023,Aedes,Insect,5.502742545,22,CG,High,Strong,Bi_multivoltine
0.3968312,Intermediate,Marsh,W21,209W21B3,2/9/2023,Aedes,Insect,5.681099168,19,CG,High,Strong,Bi_multivoltine
0.4723248,Short,Swamp,W32,622W32B2,6/22/2023,Aedes,Insect,0.2336400689,1,CG,High,Strong,Bi_multivoltine
0.4723248,Short,Swamp,W32,622W32B3,6/22/2023,Aedes,Insect,0.1128809571,1,CG,High,Strong,Bi_multivoltine
0.5491605,Short,Marsh,W37,209W37B2,2/9/2023,Aedes,Insect,0.1128809571,1,CG,High,Strong,Bi_multivoltine
0.3195769,Intermediate,Marsh,W53,209W15B2,2/9/2023,Aedes,Insect,0.6628445059,15,CG,High,Strong,Bi_multivoltine
0.3195769,Intermediate,Marsh,W53,209W53B3,2/9/2023,Aedes,Insect,0.2257619142,2,CG,High,Strong,Bi_multivoltine
0.3163063,Long,Swamp,W58,622W58B3,6/22/2023,Aedes,Insect,0.4672801377,2,CG,High,Strong,Bi_multivoltine
0.3968312,Intermediate,Marsh,W21,307W21B1,3/7/2023,Baetidae,Insect,0.9436666502,1,CG,Low,Weak,Bi_multivoltine
0.3968312,Intermediate,Marsh,W21,307W21B3,3/7/2023,Baetidae,Insect,0.5777525539,1,CG,Low,Weak,Bi_multivoltine
0.5491605,Short,Marsh,W37,412W37B1,4/12/2023,Baetidae,Insect,0.9436666502,1,CG,Low,Weak,Bi_multivoltine
0.5491605,Short,Marsh,W37,622W37B1,6/22/2023,Baetidae,Insect,1.8873333,2,CG,Low,Weak,Bi_multivoltine
0.5491605,Short,Marsh,W37,622W37B2,6/22/2023,Baetidae,Insect,0.9436666502,1,CG,Low,Weak,Bi_multivoltine
0.5491605,Short,Marsh,W37,622W37B3,6/22/2023,Baetidae,Insect,3.893889066,4,CG,Low,Weak,Bi_multivoltine
0.2360643,Long,Marsh,W42,209W42B2,2/9/2023,Baetidae,Insect,0.04907782533,1,CG,Low,Weak,Bi_multivoltine
0.2360643,Long,Marsh,W42,209W42B3,2/9/2023,Baetidae,Insect,0.1789369998,2,CG,Low,Weak,Bi_multivoltine
0.2360643,Long,Marsh,W42,412W42B2,4/12/2023,Baetidae,Insect,0.3169253867,1,CG,Low,Weak,Bi_multivoltine
0.2360643,Long,Marsh,W42,412W42B3,4/12/2023,Baetidae,Insect,0.9436666502,1,CG,Low,Weak,Bi_multivoltine
0.3835618,Long,Marsh,W46,209W46B3,2/9/2023,Baetidae,Insect,0.9436666502,1,CG,Low,Weak,Bi_multivoltine
0.3835618,Long,Marsh,W46,412W46B1,4/12/2023,Baetidae,Insect,0.9436666502,1,CG,Low,Weak,Bi_multivoltine
0.3835618,Long,Marsh,W46,412W46B2,4/12/2023,Baetidae,Insect,1.521419204,2,CG,Low,Weak,Bi_multivoltine
0.3835618,Long,Marsh,W46,412W46B3,4/12/2023,Baetidae,Insect,0.5777525539,1,CG,Low,Weak,Bi_multivoltine
0.3835618,Long,Marsh,W46,512W46B2,5/12/2023,Baetidae,Insect,0.9436666502,1,CG,Low,Weak,Bi_multivoltine
0.3835618,Long,Marsh,W46,512W46B3,5/12/2023,Baetidae,Insect,2.83099995,3,CG,Low,Weak,Bi_multivoltine
0.3835618,Long,Marsh,W46,622W46B1,6/22/2023,Baetidae,Insect,2.977132476,4,CG,Low,Weak,Bi_multivoltine
0.3835618,Long,Marsh,W46,622W46B3,6/22/2023,Baetidae,Insect,0.5777525539,1,CG,Low,Weak,Bi_multivoltine
0.3195769,Intermediate,Marsh,W53,412W53B1,4/12/2023,Baetidae,Insect,0.1461325251,1,CG,Low,Weak,Bi_multivoltine
0.3195769,Intermediate,Marsh,W53,512W53B1,5/12/2023,Baetidae,Insect,2.776517977,19,CG,Low,Weak,Bi_multivoltine
0.3195769,Intermediate,Marsh,W53,512W53B2,5/12/2023,Baetidae,Insect,0.1461325251,1,CG,Low,Weak,Bi_multivoltine
0.3195769,Intermediate,Marsh,W53,512W53B3,5/12/2023,Baetidae,Insect,0.1461325251,1,CG,Low,Weak,Bi_multivoltine
0.3195769,Intermediate,Marsh,W53,622W53B3,6/22/2023,Baetidae,Insect,0.1461325251,1,CG,Low,Weak,Bi_multivoltine
0.3916141,Long,Swamp,W11,209W11B3,2/9/2023,Chironomidae,Insect,0.0179291617,1,CG,,,
0.2360643,Long,Marsh,W42,307W42B2,3/7/2023,Chironomidae,Insect,0.0598450944,2,CG,,,
0.3835618,Long,Marsh,W46,622W46B2,6/22/2023,Chironomidae,Insect,0.02791627233,1,CG,,,
0.3835618,Long,Marsh,W46,622W46B3,6/22/2023,Chironomidae,Insect,0.02791627233,1,CG,,,
0.4596531,Intermediate,Swamp,W52,209W52B3,2/9/2023,Chironomidae,Insect,0.1137445137,2,CG,,,
0.4596531,Intermediate,Swamp,W52,412W52B3,4/12/2023,Chironomidae,Insect,0.2762473441,2,CG,,,
0.3163063,Long,Swamp,W58,209W58B1,2/9/2023,Chironomidae,Insect,0.01258279514,1,CG,,,
0.3916141,Long,Swamp,W11,412W11B1,4/12/2023,Chironomini,Insect,0.0179291617,1,CG,,,
0.3195769,Intermediate,Marsh,W53,412W53B1,4/12/2023,Chironomini,Insect,0.1387396297,1,CG,,,
0.5491605,Short,Marsh,W37,209W37B2,2/9/2023,Chironomus,Insect,0.4974805877,8,CG,High,Strong,Bi_multivoltine
0.2360643,Long,Marsh,W42,512W42B2,5/12/2023,Chironomus,Insect,0.1486945957,2,CG,High,Strong,Bi_multivoltine
0.2360643,Long,Marsh,W42,512W42B3,5/12/2023,Chironomus,Insect,0.3521859341,4,CG,High,Strong,Bi_multivoltine
0.3835618,Long,Marsh,W46,412W46B3,4/12/2023,Chironomus,Insect,0.07434729785,1,CG,High,Strong,Bi_multivoltine
0.3835618,Long,Marsh,W46,622W46B3,6/22/2023,Chironomus,Insect,0.02569840031,1,CG,High,Strong,Bi_multivoltine
0.4596531,Intermediate,Swamp,W52,209W52B1,6/22/2023,Chironomus,Insect,0.1226652692,4,CG,High,Strong,Bi_multivoltine
0.4596531,Intermediate,Swamp,W52,209W52B3,2/9/2023,Chironomus,Insect,0.1257440985,3,CG,High,Strong,Bi_multivoltine
0.4596531,Intermediate,Swamp,W52,307W52B1,3/7/2023,Chironomus,Insect,0.1579809346,1,CG,High,Strong,Bi_multivoltine
0.4596531,Intermediate,Swamp,W52,307W52B2,3/7/2023,Chironomus,Insect,0.1579809346,1,CG,High,Strong,Bi_multivoltine
0.4596531,Intermediate,Swamp,W52,307W52B3,3/7/2023,Chironomus,Insect,0.02569840031,1,CG,High,Strong,Bi_multivoltine
0.3195769,Intermediate,Marsh,W53,512W53B1,5/12/2023,Chironomus,Insect,0.02418781264,2,CG,High,Strong,Bi_multivoltine
0.3195769,Intermediate,Marsh,W53,512W53B3,5/12/2023,Chironomus,Insect,0.04611161404,1,CG,High,Strong,Bi_multivoltine
0.3163063,Long,Swamp,W58,209W58B1,2/9/2023,Chironomus,Insect,0.3264357477,2,CG,High,Strong,Bi_multivoltine
0.3681222,Intermediate,Swamp,W68,622W68B3,6/22/2023,Chironomus,Insect,0.07181001435,2,CG,High,Strong,Bi_multivoltine
0.5944965,Short,Marsh,W15,209W15B3,2/9/2023,Culicidae,Insect,6.938898604,95,CG,,,
0.4723248,Short,Swamp,W32,209W32B3,2/9/2023,Culicidae,Insect,0.00123,1,CG,,,
0.4723248,Short,Swamp,W32,412W32B1,4/12/2023,Culicidae,Insect,0.2336400689,1,CG,,,
0.4723248,Short,Swamp,W32,622W32B2,6/22/2023,Culicidae,Insect,0.2336400689,1,CG,,,
0.3681222,Intermediate,Swamp,W68,209W68B1,2/9/2023,Culicidae,Insect,0.00123,1,CG,,,
0.3681222,Intermediate,Swamp,W68,209W68B2,2/9/2023,Culicidae,Insect,0.00246,2,CG,,,
0.3835618,Long,Marsh,W46,412W46B1,4/12/2023,Dicrotendipes,Insect,0.3240343335,4,CG,***,Strong,Bi_multivoltine
0.3835618,Long,Marsh,W46,412W46B2,4/12/2023,Dicrotendipes,Insect,0.3321080503,6,CG,***,Strong,Bi_multivoltine
0.3835618,Long,Marsh,W46,412W46B3,4/12/2023,Dicrotendipes,Insect,0.5399202344,11,CG,***,Strong,Bi_multivoltine
0.3835618,Long,Marsh,W46,512W46B2,5/12/2023,Dicrotendipes,Insect,0.8428234536,6,CG,***,Strong,Bi_multivoltine
0.3835618,Long,Marsh,W46,622W46B3,6/22/2023,Dicrotendipes,Insect,4.524158698,63,CG,***,Strong,Bi_multivoltine
0.3195769,Intermediate,Marsh,W53,512W53B1,5/12/2023,Dicrotendipes,Insect,0.04597529286,1,CG,***,Strong,Bi_multivoltine
0.3163063,Long,Swamp,W58,512W58B3,5/12/2023,Dicrotendipes,Insect,0.16436269,1,CG,***,Strong,Bi_multivoltine
0.2360643,Long,Marsh,W42,209W42B3,2/9/2023,Einfeldia,Insect,0.03585832339,2,CG,***,***,Univoltine
0.2360643,Long,Marsh,W42,512W42B2,5/12/2023,Einfeldia,Insect,0.6302886032,9,CG,***,***,Univoltine
0.2360643,Long,Marsh,W42,512W42B3,5/12/2023,Einfeldia,Insect,0.08964580848,5,CG,***,***,Univoltine
0.2360643,Long,Marsh,W42,622W42B2,6/22/2023,Einfeldia,Insect,0.0179291617,1,CG,***,***,Univoltine
0.5491605,Short,Marsh,W37,209W37B1,2/9/2023,Enochrus,Insect,1.98309068,1,CG,Low,Strong,Univoltine
0.3195769,Intermediate,Marsh,W53,512W53B2,5/12/2023,Enochrus,Insect,7.099319576,5,CG,Low,Strong,Univoltine
0.3916141,Long,Swamp,W11,209W11B2,2/9/2023,Eukiefferiella,Insect,0.04714707832,2,CG,***,Strong,Bi_multivoltine
0.4723248,Short,Swamp,W32,412W32B2,4/12/2023,Glyptotendipes,Insect,0.3333468312,3,CG,***,***,Univoltine
0.4723248,Short,Swamp,W32,412W32B3,4/12/2023,Glyptotendipes,Insect,0.5920892873,2,CG,***,***,Univoltine
0.4723248,Short,Swamp,W32,622W32B1,6/22/2023,Glyptotendipes,Insect,0.1857687172,1,CG,***,***,Univoltine
0.4723248,Short,Swamp,W32,622W32B2,6/22/2023,Glyptotendipes,Insect,1.486149737,8,CG,***,***,Univoltine
0.4723248,Short,Swamp,W32,622W32B3,6/22/2023,Glyptotendipes,Insect,0.1162830382,1,CG,***,***,Univoltine
0.5491605,Short,Marsh,W37,209W37B2,2/9/2023,Glyptotendipes,Insect,1.907070093,3,CG,***,***,Univoltine
0.5491605,Short,Marsh,W37,622W37B1,6/22/2023,Glyptotendipes,Insect,2.761041507,4,CG,***,***,Univoltine
0.3195769,Intermediate,Marsh,W53,412W53B2,4/12/2023,Kiefferulus,Insect,0.1387396297,1,CG,***,***,Semivoltine
0.3835618,Long,Marsh,W46,622W46B3,6/22/2023,Micropsectra,Insect,0.01133270915,1,CG,***,Strong,Bi_multivoltine
0.4596531,Intermediate,Swamp,W52,209W52B1,2/9/2023,Micropsectra,Insect,0.06636900846,2,CG,***,Strong,Bi_multivoltine
0.3163063,Long,Swamp,W58,622W58B3,6/22/2023,Micropsectra,Insect,0.02386026117,1,CG,***,Strong,Bi_multivoltine
0.3835618,Long,Marsh,W46,412W46B1,4/12/2023,Parachironomus,Insect,0.0738760956,1,CG,***,***,Semivoltine
0.3835618,Long,Marsh,W46,412W46B2,4/12/2023,Parachironomus,Insect,0.0738760956,1,CG,***,***,Semivoltine
0.3835618,Long,Marsh,W46,622W46B1,6/22/2023,Parachironomus,Insect,0.292812255,6,CG,***,***,Semivoltine
0.3835618,Long,Marsh,W46,622W46B2,6/22/2023,Parachironomus,Insect,0.0738760956,1,CG,***,***,Semivoltine
0.3835618,Long,Marsh,W46,622W46B3,6/22/2023,Parachironomus,Insect,0.2531379124,5,CG,***,***,Semivoltine
0.3195769,Intermediate,Marsh,W53,512W53B1,5/12/2023,Paracymus,Insect,1.400314273,4,CG,Low,Weak,Univoltine
