Wetland,Vegetation,Collection Date,Depth (m),Percent FullBy DepthReading,2d Area(Surface Area m2),Percentof Total2d Area,3d Area(Basin Surface Area m2),Percentof Total3d Area,Volume (m3),Percentof TotalVolume
W11,Swamp,10/11/22,0,0,0,0,0,0,0,0
W15,Marsh,10/11/22,0,0,0,0,0,0,0,0
W21,Marsh,10/11/22,0,0,0,0,0,0,0,0
W32,Swamp,10/11/22,0,0,0,0,0,0,0,0
W37,Marsh,10/11/22,0,0,0,0,0,0,0,0
W42,Marsh,10/11/22,0.27,17.3077,1534.7151,5.9369,1534.9816,5.9338,100.1706,0.5498
W46,Marsh,10/11/22,0,0,0,0,0,0,0,0
W52,Swamp,10/11/22,0.21,24.1379,18742.6348,26.9699,18744.0456,26.9693,3120.0916,9.8227
W53,Marsh,10/11/22,0,0,0,0,0,0,0,0
W58,Swamp,10/11/22,0.1,6.993,2466.1244,3.0149,2466.4355,3.0146,240.5791,0.4024
W68,Swamp,10/11/22,0,0,0,0,0,0,0,0
W11,Swamp,10/25/22,0,0,0,0,0,0,0,0
W15,Marsh,10/25/22,0,0,0,0,0,0,0,0
W21,Marsh,10/25/22,0,0,0,0,0,0,0,0
W32,Swamp,10/25/22,0,0,0,0,0,0,0,0
W37,Marsh,10/25/22,0,0,0,0,0,0,0,0
W42,Marsh,10/25/22,0.24,15.3846,813.6842,3.1477,813.8889,3.1462,65.9272,0.3618
W46,Marsh,10/25/22,0,0,0,0,0,0,0,0
W52,Swamp,10/25/22,0.16,18.3908,15914.9756,22.901,15916.0375,22.9003,2254.0304,7.0961
W53,Marsh,10/25/22,0,0,0,0,0,0,0,0
W58,Swamp,10/25/22,0,0,0,0,0,0,0,0
W68,Swamp,10/25/22,0,0,0,0,0,0,0,0
W11,Swamp,11/8/22,0,0,0,0,0,0,0,0
W15,Marsh,11/8/22,0,0,0,0,0,0,0,0
W21,Marsh,11/8/22,0,0,0,0,0,0,0,0
W32,Swamp,11/8/22,0,0,0,0,0,0,0,0
W37,Marsh,11/8/22,0,0,0,0,0,0,0,0
W42,Marsh,11/8/22,0.14,8.9744,292.5996,1.1319,292.6726,1.1314,18.6977,0.1026
W46,Marsh,11/8/22,0,0,0,0,0,0,0,0
