"CoV","HLength","Type","Wetland","Sample","DateCollected","Taxa","tot_biomass","Count","Density"
"0.3916141","Long","Swamp","W11","221W11E1","2/21/2023","Chironominae",0.25,1,2.5
"0.3916141","Long","Swamp","W11","221W11E1","2/21/2023","Culex",1.349237022,1,2.5
"0.3916141","Long","Swamp","W11","221W11E1","2/21/2023","Culicine",8.504540372,4,10
"0.3916141","Long","Swamp","W11","221W11E1","2/21/2023","Tanytarsini",0.7422617853,1,2.5
"0.3916141","Long","Swamp","W11","221W11E2","2/21/2023","Culex",1.349237022,1,2.5
"0.3916141","Long","Swamp","W11","221W11E2","2/21/2023","Culicine",2.126135093,1,2.5
"0.3916141","Long","Swamp","W11","221W11E3","2/21/2023","Chironominae",0.7422617853,1,2.5
"0.3916141","Long","Swamp","W11","221W11E3","2/21/2023","Culex",1.349237022,1,2.5
"0.3916141","Long","Swamp","W11","221W11E3","2/21/2023","Culicine",1.349237022,1,2.5
"0.3916141","Long","Swamp","W11","306W11E1","3/6/2023","Aedes",1.349237022,1,2.5
"0.3916141","Long","Swamp","W11","306W11E1","3/6/2023","Anopheles",5.209054952,2,5
"0.3916141","Long","Swamp","W11","306W11E1","3/6/2023","Chironominae",3.807511214,9,22.5
"0.3916141","Long","Swamp","W11","306W11E1","3/6/2023","Culicine",1.349237022,1,2.5
"0.3916141","Long","Swamp","W11","306W11E1","3/6/2023","Orthocladiinae",0.25,1,2.5
"0.3916141","Long","Swamp","W11","306W11E1","3/6/2023","Tanytarsini",0.4725016021,1,2.5
"0.3916141","Long","Swamp","W11","306W11E2","3/6/2023","Aedes",1.349237022,1,2.5
"0.3916141","Long","Swamp","W11","306W11E2","3/6/2023","Chironominae",9.532527236,23,57.5
"0.3916141","Long","Swamp","W11","306W11E2","3/6/2023","Culicine",2.126135093,1,2.5
"0.3916141","Long","Swamp","W11","306W11E2","3/6/2023","Orthocladiinae",0.4725016021,1,2.5
"0.3916141","Long","Swamp","W11","306W11E2","3/6/2023","Tanytarsini",6.1408357015,9,22.5
"0.3916141","Long","Swamp","W11","306W11E3","3/6/2023","Orthocladiinae",0.25,1,2.5
"0.3916141","Long","Swamp","W11","321W11E1","3/21/2023","Alluaudomyia",1.9570251731,3,7.5
"0.3916141","Long","Swamp","W11","321W11E1","3/21/2023","Orthocladiinae",0.9922617853,2,5
"0.3916141","Long","Swamp","W11","321W11E2","3/21/2023","Alluaudomyia",0.7422617853,1,2.5
"0.3916141","Long","Swamp","W11","321W11E2","3/21/2023","Anopheles",7.335190045,3,7.5
"0.3916141","Long","Swamp","W11","321W11E2","3/21/2023","Orthocladiinae",0.5,2,5
"0.3916141","Long","Swamp","W11","405W11E1","4/5/2023","Chaoborus",15.195713788,6,15
"0.3916141","Long","Swamp","W11","405W11E1","4/5/2023","Chironomini",1.5261745311,2,5
"0.3916141","Long","Swamp","W11","405W11E1","4/5/2023","Orthocladiinae",0.7225016021,2,5
"0.3916141","Long","Swamp","W11","405W11E2","4/5/2023","Chaoborus",60.288200485,24,60
"0.3916141","Long","Swamp","W11","405W11E2","4/5/2023","Chironominae",1.2147633874,2,5
"0.3916141","Long","Swamp","W11","405W11E2","4/5/2023","Orthocladiinae",3.3625080102,9,22.5
"0.3916141","Long","Swamp","W11","405W11E2","4/5/2023","Tanytarsini",0.4725016021,1,2.5
