HLength,Type,Wetland,Sample,DateCollected,Taxa,tot_biomass,Count,Density,FFG,Female dispersal distance,Adult flyer strength,Voltanism
Long,Swamp,W11,306W11E1,3/6/2023,Anopheles,5.209054952,2,5,CF,Low,Weak,Bi_multivoltine
Long,Swamp,W11,321W11E2,3/21/2023,Anopheles,7.335190045,3,7.5,CF,Low,Weak,Bi_multivoltine
Long,Swamp,W11,420W11E3,4/20/2023,Anopheles,10.81056216,5,12.5,CF,Low,Weak,Bi_multivoltine
Long,Swamp,W11,503W11E1,5/3/2023,Anopheles,2.126135093,1,2.5,CF,Low,Weak,Bi_multivoltine
Long,Swamp,W11,503W11E3,5/3/2023,Anopheles,2.126135093,1,2.5,CF,Low,Weak,Bi_multivoltine
Long,Swamp,W11,801W11E3,8/1/2023,Anopheles,0.3285406546,1,2.5,CF,Low,Weak,Bi_multivoltine
Intermediate,Marsh,W21,705W21E1,7/5/2023,Anopheles,2.126135093,1,2.5,CF,Low,Weak,Bi_multivoltine
Intermediate,Marsh,W21,705W21E2,7/5/2023,Anopheles,2.126135093,1,2.5,CF,Low,Weak,Bi_multivoltine
Short,Swamp,W32,420W32E2,4/20/2023,Anopheles,2.126135093,1,2.5,CF,Low,Weak,Bi_multivoltine
Intermediate,Marsh,W53,306W53E3,3/6/2023,Anopheles,3.082919859,1,2.5,CF,Low,Weak,Bi_multivoltine
Intermediate,Marsh,W53,405W53E1,4/5/2023,Anopheles,2.126135093,1,2.5,CF,Low,Weak,Bi_multivoltine
Intermediate,Marsh,W53,405W53E2,4/5/2023,Anopheles,2.126135093,1,2.5,CF,Low,Weak,Bi_multivoltine
Intermediate,Marsh,W53,517W53E3,5/17/2023,Anopheles,1.349237022,1,2.5,CF,Low,Weak,Bi_multivoltine
Intermediate,Swamp,W68,405W68E1,4/5/2023,Anopheles,2.126135093,1,2.5,CF,Low,Weak,Bi_multivoltine
Intermediate,Swamp,W68,405W68E2,4/5/2023,Anopheles,2.126135093,1,2.5,CF,Low,Weak,Bi_multivoltine
Intermediate,Swamp,W68,705W68E1,7/5/2023,Anopheles,2.126135093,1,2.5,CF,Low,Weak,Bi_multivoltine
Long,Swamp,W11,221W11E1,2/21/2023,Culex,1.349237022,1,2.5,CF,Low,Weak,Bi_multivoltine
Long,Swamp,W11,221W11E2,2/21/2023,Culex,1.349237022,1,2.5,CF,Low,Weak,Bi_multivoltine
Long,Swamp,W11,221W11E3,2/21/2023,Culex,1.349237022,1,2.5,CF,Low,Weak,Bi_multivoltine
Long,Swamp,W11,517W11E2,5/17/2023,Culex,0.7506942755,1,2.5,CF,Low,Weak,Bi_multivoltine
Long,Swamp,W11,531W11E2,5/31/2023,Culex,2.698474044,2,5,CF,Low,Weak,Bi_multivoltine
Long,Swamp,W11,531W11E3,5/31/2023,Culex,2.698474044,2,5,CF,Low,Weak,Bi_multivoltine
Intermediate,Marsh,W21,801W21E2,8/1/2023,Culex,1.349237022,1,2.5,CF,Low,Weak,Bi_multivoltine
Intermediate,Marsh,W53,615W53E1,6/15/2023,Culex,1.027781181,1,2.5,CF,Low,Weak,Bi_multivoltine
Intermediate,Swamp,W68,512W68E1,5/12/2023,Culex,4.047711065,3,7.5,CF,Low,Weak,Bi_multivoltine
Long,Swamp,W11,517W11E2,5/17/2023,Uranotaenia,0.7506942755,1,2.5,CF,,,
Long,Swamp,W11,306W11E1,3/6/2023,Aedes,1.349237022,1,2.5,CG,High,Strong,Bi_multivoltine
Long,Swamp,W11,306W11E2,3/6/2023,Aedes,1.349237022,1,2.5,CG,High,Strong,Bi_multivoltine
Long,Swamp,W11,420W11E3,4/20/2023,Aedes,0.7506942755,1,2.5,CG,High,Strong,Bi_multivoltine
Long,Swamp,W11,503W11E1,5/3/2023,Aedes,2.698474044,2,5,CG,High,Strong,Bi_multivoltine
Long,Swamp,W11,623W11E1,6/23/2023,Aedes,2.126135093,1,2.5,CG,High,Strong,Bi_multivoltine
Long,Swamp,W11,705W11E3,7/5/2023,Aedes,2.126135093,1,2.5,CG,High,Strong,Bi_multivoltine
Long,Swamp,W11,719W11E3,7/19/2023,Aedes,1.501388551,2,5,CG,High,Strong,Bi_multivoltine
Short,Marsh,W15,503W15E1,5/3/2023,Aedes,5.601507208,3,7.5,CG,High,Strong,Bi_multivoltine
Short,Marsh,W15,705W15E1,7/5/2023,Aedes,2.377018203,2,5,CG,High,Strong,Bi_multivoltine
Intermediate,Marsh,W21,503W21E2,5/3/2023,Aedes,11.06144527,6,15,CG,High,Strong,Bi_multivoltine
Intermediate,Marsh,W21,503W21E3,5/3/2023,Aedes,1.349237022,1,2.5,CG,High,Strong,Bi_multivoltine
Intermediate,Marsh,W21,517W21E1,5/17/2023,Aedes,1.349237022,1,2.5,CG,High,Strong,Bi_multivoltine
Intermediate,Marsh,W21,517W21E2,5/17/2023,Aedes,9.853777394,5,12.5,CG,High,Strong,Bi_multivoltine
Intermediate,Marsh,W21,705W21E1,7/5/2023,Aedes,3.475372115,2,5,CG,High,Strong,Bi_multivoltine
Intermediate,Marsh,W21,705W21E2,7/5/2023,Aedes,3.726255225,3,7.5,CG,High,Strong,Bi_multivoltine
