Wetland,Vegetation,Collection Date,Depth (m),Percent FullBy DepthReading,2d Area(Surface Area m2),Percentof Total2d Area,3d Area(Basin Surface Area m2),Percentof Total3d Area,Volume (m3),Percentof TotalVolume
W11,Swamp,1/15/98,1.33,114.663123,84687.888,118.5527,84721.4217,111.25045,63550.0071,131.099746
W11,Swamp,1/21/98,1.33,114.663123,84687.888,118.5527,84721.4217,111.25045,63550.0071,131.099746
W11,Swamp,1/28/98,1.32,113.801053,84215.043,117.6887,84248.2972,110.629162,62636.4556,129.215145
W11,Swamp,2/4/98,1.37,118.111403,86554.448,122.0087,86589.1057,113.703022,67271.0711,138.776074
W11,Swamp,2/11/98,1.35,116.387263,85626.132,120.2807,85660.2265,112.483253,65397.1675,134.910325
W11,Swamp,2/18/98,1.38,118.973473,87014.883,122.8727,87049.8232,114.30802,68218.0516,140.729637
W11,Swamp,2/25/98,1.39,119.835543,87472.836,123.7367,87508.0593,114.909759,69171.7179,142.696992
W11,Swamp,3/3/98,1.41,121.559683,88381.296,125.4647,88417.0873,116.103463,71099.1079,146.67308
W11,Swamp,3/11/98,1.9,163.801113,107537.307,167.8007,107587.764,141.27809,126674.07,261.32084
W11,Swamp,3/21/98,1.92,165.525253,108192.603,169.5287,108243.689,142.139458,129283.412,266.703753
W11,Swamp,3/26/98,1.86,160.352833,106196.931,164.3447,106246.137,139.516256,121535.616,250.720523
W11,Swamp,4/3/98,1.74,150.007993,101937.531,153.9767,101983.041,133.917968,106762.092,220.243643
W11,Swamp,4/9/98,1.77,152.594203,103035.888,156.5687,103082.314,135.361526,110365.215,227.676666
W11,Swamp,4/14/98,1.68,144.835573,99673.803,148.7927,99717.4972,130.942882,99736.3636,205.749993
W11,Swamp,4/22/98,1.61,138.801083,96919.856,142.7447,96961.4593,127.323699,91843.8839,189.468288
W11,Swamp,4/29/98,1.5,129.318313,92346.507,133.2407,92384.884,121.31385,80103.31,165.2482
W11,Swamp,5/7/98,1.43,123.283823,89279.828,127.1927,89316.1897,117.284134,73053.2411,150.704338
W11,Swamp,5/14/98,1.41,121.559683,88381.296,125.4647,88417.0873,116.103463,71099.1079,146.67308
W11,Swamp,5/20/98,1.25,107.766563,80835.632,111.6407,80866.9465,106.188913,56428.7975,116.409125
W11,Swamp,5/28/98,1.18,101.732073,77334.603,105.5927,77364.0072,101.589012,50548.7436,104.278933
W11,Swamp,6/1/98,1.14,98.2759,75024.8496,98.549,75052.9166,98.5489,46963.2706,96.882
W11,Swamp,6/8/98,1.07,92.2414,71260.5154,93.6044,71286.8949,93.6039,41843.1775,86.3196
W11,Swamp,6/17/98,0.97,83.6207,65833.5749,86.4758,65857.6254,86.475,34988.0226,72.1778
W11,Swamp,7/1/98,0.82,70.6897,57261.739,75.2163,57282.1482,75.2148,25755.7063,53.1322
W11,Swamp,7/7/98,0.75,64.6552,53463.8999,70.2276,53482.5601,70.2258,21881.2199,45.1394
W11,Swamp,7/13/98,0.73,62.931,52408.1931,68.8409,52426.3566,68.8389,20822.5194,42.9554
W11,Swamp,7/22/98,0.73,62.931,52408.1931,68.8409,52426.3566,68.8389,20822.5194,42.9554
